CODE,Location Name,lat,lon,Latitude/Longitude
I08,JABALPUR BRANCH,23.2019213,79.885772,"23.2019213,79.885772"
I04,INDORE T/S APEX,22.746654,75.892436,"22.746654,75.892436"
I11,CHHINDWARA SORTING OFFICE,22.06202215,78.95305557,"22.06202215,78.95305557"
I16,MANDSAUR SORTING OFFICE,24.07529054,75.06819506,"24.07529054,75.06819506"
I19,REWA BRANCH,24.5444,81.32317,"24.5444,81.32317"
I20,DEWAS BRANCH,22.976737,76.054412,"22.976737,76.054412"
I24,INDORE SURFACE APEX,22.816102,75.939382,"22.816102,75.939382"
I29,NEEMUCH NODAL POINT,24.46239665,74.87486968,"24.46239665,74.87486968"
I30,SHAHDOL NODAL POINT,23.29929,81.364875,"23.29929,81.364875"
I34,SAGAR BRANCH,23.84878135,78.74049686,"23.84878135,78.74049686"
I39,BETUL BRANCH,21.9018963,77.891193,"21.9018963,77.891193"
J01,CHANDIGARH BRANCH,30.71151,76.808558,"30.71151,76.808558"
J02,JALANDHAR BRANCH,31.3584794,75.5819223,"31.3584794,75.5819223"
J03,LUDHIANA BRANCH,30.8955863,75.8833003,"30.8955863,75.8833003"
J04,PANIPAT BRANCH,29.3752606,76.9783179,"29.3752606,76.9783179"
J05,AMRITSAR BRANCH,31.610906,74.9212785,"31.610906,74.9212785"
J06,AMBALA BRANCH,30.403561,76.787836,"30.403561,76.787836"
J07,HISSAR BRANCH,29.13406,75.740307,"29.13406,75.740307"
J08,BHATINDA BRANCH,30.223627,74.934895,"30.223627,74.934895"
J10,AMBALA APEX,30.403561,76.787836,"30.403561,76.787836"
J11,PATHANKOT BRANCH,32.269851,75.646496,"32.269851,75.646496"
J12,BADDI SUPER FRANCHISEE,30.93845,76.800679,"30.93845,76.800679"
J13,PANCHKULA BRANCH,30.667815,76.837394,"30.667815,76.837394"
J14,SHIMLA BRANCH,31.108444,77.164871,"31.108444,77.164871"
J15,KARNAL BRANCH,29.671061,76.991046,"29.671061,76.991046"
